frame_number,x,y,width,height,status,fps
2,119,113,69,135,TRACKING,17.9267
3,119,113,69,135,TRACKING,21.2819
4,118,113,69,135,TRACKING,18.768
5,118,112,69,135,TRACKING,20.1753
6,118,112,69,135,TRACKING,23.5403
7,118,112,69,135,TRACKING,22.0244
8,119,111,69,135,TRACKING,20.7569
9,118,110,69,135,TRACKING,20.5349
10,118,110,69,135,TRACKING,22.2666
11,117,109,69,135,TRACKING,19.6071
12,118,110,69,135,TRACKING,13.5935
13,117,109,69,135,TRACKING,20.495
14,117,110,69,135,TRACKING,21.7478
15,116,110,69,135,TRACKING,21.8054
16,115,108,69,135,TRACKING,22.2532
17,115,107,69,135,TRACKING,21.1595
18,114,106,69,135,TRACKING,23.2863
19,113,104,69,135,TRACKING,21.2241
20,113,105,69,135,TRACKING,18.3245
21,113,104,69,135,TRACKING,25.3763
22,113,103,69,135,TRACKING,24.1586
23,113,104,69,135,TRACKING,24.1778
24,113,104,69,135,TRACKING,20.4531
25,114,104,69,135,TRACKING,24.7928
26,113,104,69,135,TRACKING,24.28
27,113,103,69,135,TRACKING,24.7757
28,113,103,69,135,TRACKING,24.1732
29,114,103,69,135,TRACKING,23.4679
30,113,101,69,135,TRACKING,24.8796
31,112,100,69,135,TRACKING,20.9911
32,113,100,69,135,TRACKING,24.3689
33,113,100,69,135,TRACKING,24.9128
34,112,99,69,135,TRACKING,23.7943
35,112,99,69,135,TRACKING,23.7223
36,112,101,69,135,TRACKING,24.2804
37,111,100,69,135,TRACKING,24.2734
38,110,99,69,135,TRACKING,23.9177
39,110,97,69,135,TRACKING,24.8586
40,110,98,69,135,TRACKING,22.1406
41,110,97,69,135,TRACKING,25.0437
42,110,96,69,135,TRACKING,24.4913
43,109,95,69,135,TRACKING,25.0104
44,110,96,69,135,TRACKING,24.1436
45,109,95,69,135,TRACKING,23.0459
46,111,96,69,135,TRACKING,22.6892
47,110,96,69,135,TRACKING,21.7888
48,110,96,69,135,TRACKING,22.8403
49,109,95,69,135,TRACKING,24.06
50,110,94,69,135,TRACKING,22.9967
51,110,93,69,135,TRACKING,24.4634
52,110,92,69,135,TRACKING,23.8193
53,110,91,69,135,TRACKING,19.9502
54,109,91,69,135,TRACKING,21.4711
55,110,91,69,135,TRACKING,23.2231
56,109,91,69,135,TRACKING,22.7273
57,109,91,69,135,TRACKING,22.8346
58,109,91,69,135,TRACKING,23.5972
59,109,92,69,135,TRACKING,20.2056
60,108,91,69,135,TRACKING,24.3617
61,108,90,69,135,TRACKING,22.6191
62,108,89,69,135,TRACKING,23.9977
63,108,88,69,135,TRACKING,17.9535
64,108,88,69,135,TRACKING,21.6068
65,108,88,69,135,TRACKING,25.2011
66,108,89,69,135,TRACKING,17.6697
67,108,89,69,135,TRACKING,21.3965
68,108,88,69,135,TRACKING,20.2359
69,108,88,69,135,TRACKING,20.2969
70,108,88,69,135,TRACKING,25.5365
71,108,87,69,135,TRACKING,18.6685
72,109,88,69,135,TRACKING,23.7178
73,108,87,69,135,TRACKING,20.0004
74,108,88,69,135,TRACKING,23.9965
75,108,88,69,135,TRACKING,25.0617
76,109,88,69,135,TRACKING,22.9891
77,109,90,69,135,TRACKING,24.0502
78,109,91,69,135,TRACKING,24.4694
79,109,91,69,135,TRACKING,23.7311
80,109,90,69,135,TRACKING,19.0679
81,109,90,69,135,TRACKING,21.3697
82,109,90,69,135,TRACKING,23.6629
83,109,89,69,135,TRACKING,23.0978
84,109,89,69,135,TRACKING,23.0347
85,110,89,69,135,TRACKING,23.3359
86,109,88,69,135,TRACKING,21.5397
87,109,89,69,135,TRACKING,22.856
88,110,90,69,135,TRACKING,22.1915
89,109,90,69,135,TRACKING,21.9748
90,110,90,69,135,TRACKING,23.4713
91,110,89,69,135,TRACKING,23.3361
92,110,90,69,135,TRACKING,22.7867
93,109,89,69,135,TRACKING,24.0295
94,109,88,69,135,TRACKING,24.5219
95,109,87,69,135,TRACKING,21.5119
96,109,86,69,135,TRACKING,22.4646
97,108,86,69,135,TRACKING,23.4347
98,108,84,69,135,TRACKING,23.5479
99,108,84,69,135,TRACKING,24.5319
100,107,84,69,135,TRACKING,24.8449
101,108,84,69,135,TRACKING,25.5227
102,107,83,69,135,TRACKING,24.9939
103,108,83,69,135,TRACKING,23.9661
104,107,82,69,135,TRACKING,24.7867
105,106,81,69,135,TRACKING,24.5948
106,106,81,69,135,TRACKING,22.9671
107,106,81,69,135,TRACKING,24.7131
108,106,81,69,135,TRACKING,24.1461
109,106,81,69,135,TRACKING,24.5935
110,106,81,69,135,TRACKING,21.5475
111,106,81,69,135,TRACKING,25.0638
112,106,81,69,135,TRACKING,25.755
113,106,82,69,135,TRACKING,21.5898
114,107,82,69,135,TRACKING,16.0447
115,107,82,69,135,TRACKING,23.929
116,107,81,69,135,TRACKING,21.549
117,107,81,69,135,TRACKING,24.1181
118,107,81,69,135,TRACKING,24.0946
119,107,82,69,135,TRACKING,23.9384
120,108,82,69,135,TRACKING,21.8251
121,107,82,69,135,TRACKING,24.161
122,107,81,69,135,TRACKING,24.0782
123,107,81,69,135,TRACKING,24.4168
124,107,80,69,135,TRACKING,23.2088
125,105,79,69,135,TRACKING,20.1788
126,105,78,69,135,TRACKING,24.3955
127,105,77,69,135,TRACKING,23.3097
128,104,76,69,135,TRACKING,24.2716
129,104,78,69,135,TRACKING,23.1618
130,104,79,69,135,TRACKING,24.9786
131,105,79,69,135,TRACKING,24.3687
132,105,80,69,135,TRACKING,24.7663
133,105,80,69,135,TRACKING,25.0508
134,105,81,69,135,TRACKING,23.2762
135,105,80,69,135,TRACKING,23.8276
136,105,80,69,135,TRACKING,25.4333
137,105,78,69,135,TRACKING,24.2245
138,104,78,69,135,TRACKING,23.5652
139,104,77,69,135,TRACKING,24.2571
140,104,77,69,135,TRACKING,24.5265
141,104,76,69,135,TRACKING,22.5559
142,104,77,69,135,TRACKING,20.7641
143,104,77,69,135,TRACKING,23.613
144,104,78,69,135,TRACKING,22.8403
145,104,77,69,135,TRACKING,21.775
146,103,77,69,135,TRACKING,20.0911
147,102,77,69,135,TRACKING,22.0278
148,102,76,69,135,TRACKING,24.9156
149,101,77,69,135,TRACKING,23.985
150,101,77,69,135,TRACKING,23.7703
151,101,76,69,135,TRACKING,25.0206
152,100,77,69,135,TRACKING,23.6918
153,100,77,69,135,TRACKING,21.8774
154,100,77,69,135,TRACKING,21.6181
155,102,75,69,135,TRACKING,19.427
156,101,76,69,135,TRACKING,23.8832
157,101,76,69,135,TRACKING,24.6231
158,101,75,69,135,TRACKING,24.1012
159,101,75,69,135,TRACKING,24.7017
160,100,75,69,135,TRACKING,25.2586
161,100,74,69,135,TRACKING,25.6639
162,100,74,69,135,TRACKING,23.1037
163,99,74,69,135,TRACKING,22.5368
164,99,74,69,135,TRACKING,24.6004
165,99,74,69,135,TRACKING,25.2434
166,99,75,69,135,TRACKING,23.7919
167,98,74,69,135,TRACKING,24.3118
168,98,74,69,135,TRACKING,23.1577
169,98,74,69,135,TRACKING,21.8803
170,98,73,69,135,TRACKING,23.6568
171,97,73,69,135,TRACKING,23.6824
172,97,73,69,135,TRACKING,22.9529
173,97,72,69,135,TRACKING,22.8915
174,97,72,69,135,TRACKING,24.7254
175,97,72,69,135,TRACKING,24.4437
176,97,73,69,135,TRACKING,23.4163
177,97,73,69,135,TRACKING,23.3502
178,98,73,69,135,TRACKING,23.5901
179,97,73,69,135,TRACKING,24.0779
180,98,73,69,135,TRACKING,23.9928
181,97,73,69,135,TRACKING,23.9353
182,97,72,69,135,TRACKING,23.0712
183,98,71,69,135,TRACKING,24.017
184,99,71,69,135,TRACKING,22.8347
185,99,71,69,135,TRACKING,23.137
186,98,72,69,135,TRACKING,23.4406
187,98,72,69,135,TRACKING,23.9428
188,97,73,69,135,TRACKING,22.902
189,97,72,69,135,TRACKING,23.8923
190,96,72,69,135,TRACKING,22.8353
191,96,73,69,135,TRACKING,23.8646
192,96,72,69,135,TRACKING,22.3257
